项目名,发布人,发布时间,项目状态,详情,抓取时间
设计/UI设计,上海催收链网络科技有限公司,2018-02-01 13:04:12,已完成,"一、项目描述：
债务催收业务平台
二、主要功能点：
主界面、服务介绍、业务委托、结果反馈、订单管理、后台界面
三、可参考产品：
赢了网、贷信链、资产360
四、人员要求：
1、根据产品定位，设计与其匹配的、成熟可实现的视觉方案；
2、负责产品整体视觉包装（官网、VI系统等）；
3、负责产品整体UI规范的设立和执行；
4、为产品最终的呈现效果和质量把关负责。",2018-08-27 21:40:33.854493
设计/平面设计,第一资源,2018-02-02 11:33:45,已完成,"1、负责杂志的排版与设计。
2、杂志为双月刊，2个月排版一次。
3、1-3年排版经验，熟悉杂志排版流程。
4、杂志内页为80P，版面设计已图文为主。主要内容为采访HR圈内大咖",2018-08-27 21:40:33.878109
市场/运营/文案写作,纽宝（厦门）商务咨询有限公司,2018-02-06 15:01:22,已完成,"项目描述：
- 按照纽宝新媒体内容规划，撰写4篇微信公众号内容
- 协助纽宝于各大母婴及知识分享垂直类平台发布内容，提高纽宝品牌知名度
 
参考公众号：
- “洛杉矶小奶爸”

人员要求：
- 本科及以上学历，中文、广告、新闻、英文、发展心理学等相关专业优先；
- 具有较强的新闻、热点敏感性，有较强的文案功底；
- 学习能力强，责任感强，具有良好的沟通能力、执行力以及团队合作精神；",2018-08-27 21:40:33.888111
开发/后端开发,深圳神奇智创网络科技有限公司,2018-02-08 10:48:50,已完成,"在现有的公众号系统上面增加一些功能，（健身房的约课系统）
微信公众号:youthsh
程序后端开源程序是thinkphp
注册 
1.单独会员注册页面
2.手机号码激活
3.优惠券赠送（手机号码绑定）
初次免费体验 
1.注册后有效期一个月 
会员中心 1.课程可以设置课时，比如团体课3000元/10节等
2.会员可以在后台查看所有剩余课时和消费的课时记录 
预约 
1.开课前6内不可以退款 
 
支付 
课时的购买与充值 


会员管理
1.会员卡管理（会员计次卡）
2.会员课时管理
3.会员关注公众号，并且有有效购买记录，自动晋升为普通会员
4.后台可以手动给会员加款并可以填写加款原因",2018-08-27 21:40:33.939541
设计/UI设计,新历财经,2018-02-12 22:32:06,已完成,"在原来有app基础之上，进行整套Ios android app 页面重新设计

包括
1.主页
2.分页
3.开屏页面
4.字体设计 字体大小类型标注清晰
5.Icon设计
6.要求尺寸，px/pt标注清晰
7.Color code 标注清晰
8.中央美院优先",2018-08-27 21:40:33.944919
开发/APP开发,极创未来,2018-01-29 16:49:18,已完成,"开发一个简单的ipad应用，在ipad苹果应用商店搜“少儿编程”，应该是一个叫做“Scratch中文教程Lite”的应用，开发者是gangwenmei，我的需求就是做一个和它一样的应用，很简单，里面的视频教程内容我来提供，你只需要把我提供给你的视频内容上传上去就可以了 
最好年前能完成 
终端：ipad 
应用平台：iOS 
时间：一周左右 
预算：听报价",2018-08-27 21:40:33.958939
设计/平面设计,自由职业,2018-02-25 09:32:15,已完成,"提供文字，进行CV平面设计；

包括封面，需设计4张内容；

主视觉需提前沟通确定；",2018-08-27 21:40:33.963472
开发/后端开发,创业小公司,2018-02-27 15:27:53,已完成,"一、需求描述： 
目前我们的产品是WEB应用，选用MySQL作为数据库，由于缺少专业的DBA，当数据量大了以后查询很慢! 

需要对MySQL使用及优化经验丰富的DBA 给我们提供帮助： 
1，解决目前存在的大表（千万级记录及以上）联合查询很慢的问题--典型问题。 
2，对MySQL进行调优，参数调优，数据库表设计提供建议。 

二、合作方式： 
项目制，远程/周末上面均可。 
三、目标：
mysql查询能达到1s左右。",2018-08-27 21:40:34.027388
设计/UI设计,北京卓然互联科技有限公司,2018-02-28 13:49:43,已完成,"针对收发作业和电子题库的软件界面做设计改进和新功能设计，详细描述会发送电子文档，主要需求项如下：
需求1：批改详情页增加""待批改""状态的显示
需求2：含有待批改题的答题卡页
需求3：作业的页码显示
需求4：""修改""&""完成""icon及显示位置
需求5：涂鸦的icon及显示位置
需求6：涂鸦和作文的操作按钮
需求7：页面刷新icon及显示位置
需求8：作文成绩的显示
需求9：""答题""按钮的显示方式
需求10：手写键盘的快捷键icon
需求11：作文批改页的界面布局&答案的默认图片
需求12：最近一张照片页
需求13：批改操作介绍
需求14：在线升级，包括强制和非强制
需求15：查看发作业设置
需求16：批改详情页显示得分
需求17：批改作业时的快捷菜单",2018-08-27 21:40:34.031947
开发/前端开发,北京卓然互联科技有限公司,2018-06-13 20:39:39,已完成,"1. 根据二期产品需求和设计图，完成前端HTML+CSS页面的制作
2. 完成后按产品需求做必要的布局调整
3. 适配主流安卓+iOS屏幕
4. HTML+CSS代码风格良好、结构合理，便于开发工程师实现程序",2018-08-27 21:40:34.040770
设计/插画设计,深圳岚锋创视网络科技有限公司,2018-06-14 11:42:48,已完成,"一、项目描述：

Insta360 吉祥物设计

二、主要功能点：

呆萌

三、可参考产品：

熊本，长草颜团子",2018-08-27 21:40:34.064781
开发/小程序开发,杭州福丸科技有限公司,2018-06-14 22:39:39,已完成,"一、项目描述：
微信健身打卡类小程序

二、迭代新增功能点：
1、未打卡提醒通知
2、好友群排行
3、公众号文章接入小程序
4、补打卡操作

三、人员要求：
1.需在杭州，方便随时当面沟通细节",2018-08-27 21:40:34.074690
开发/前端开发,北京卓然互联科技有限公司,2018-06-15 14:11:52,已完成,"1. 根据产品设计，完成一个球队选择功能的H5页面，并套用VUE框架
2. 根据产品设计的标注和项目需求，自我检查页面效果，仔细比对后并修正后、再提交甲方审核。如果甲方使用几款手机审核页面有明显误差、则每处错误扣款5元
3. 只实现静态页面效果(个别页面内滑动控件使用现成的js)
4. 适配主流安卓+iOS屏幕
5. HTML+CSS代码风格良好、结构合理，便于开发工程师实现程序，配合开发工程师对静态页面做必要的调整，使得程序可用
6. 完成后按产品需求做必要的布局调整",2018-08-27 21:40:34.080606
开发/前端开发,北京卓然互联科技有限公司,2018-06-15 14:13:30,已完成,"1. 根据产品设计，完成一个足球运动员和国籍展示列表的H5页面，并套用VUE框架
2. 根据产品设计的标注和项目需求，自我检查页面效果，仔细比对后并修正后、再提交甲方审核。如果甲方使用几款手机审核页面有明显误差、则每处错误扣款5元
3. 适配主流安卓+iOS屏幕
4. HTML+CSS代码风格良好、结构合理，便于开发工程师实现程序，配合开发工程师对静态页面做必要的调整，使得程序可用
5. 完成后按产品需求做必要的布局调整",2018-08-27 21:40:34.116762
设计/平面设计,宏业企服,2018-01-11 12:05:09,已完成,"公司主营业务是注册公司和财税代理等企业服务项目。
希望是比较商务的风格，倾向偏深蓝色为主色调。
体现大气，正规，值得信赖。
希望有意向的设计师能大致说说想法。",2018-08-27 21:40:34.177049
设计/平面设计,北京华颐云信息技术有限公司,2018-01-11 16:13:07,已完成,"教育行业产品-针对幼儿园制作的宣传手册10p上下，文案将在2天内出，希望在本周五前找到合适人选，在周六日完成初稿。

风格：扁平；卡通；校园；幼儿；简约；

*要求有相关设计案例并提供作品链接。

希望你有自己的工作室，个人也可，设计需求量大，有望长期合作。",2018-08-27 21:40:34.187661
设计/UI设计,深圳市中舟智能科技有限公司,2018-01-11 17:38:27,已完成,"机器人APP客户端界面设计
可根据现有APP功能去进行UI设计。
其他详情电话沟通或微信。",2018-08-27 21:40:34.201391
设计/UI设计,北京绿城自然科技有限公司,2018-01-14 21:34:24,已完成,"这是一个创新的项目，做个人虚拟财富的钱包，汇聚各种商业积分、虚拟币，在一个钱包 App 中。

要求设计的 App 具有独特的创造精神，极佳的用户体验。

第一期功能较少，只做 iOS 版，约有 5 - 10 个页面",2018-08-27 21:40:34.208386
开发/前端开发,深圳海德领航科技,2018-01-16 22:54:06,已完成,"一、PC端开发，纯前端，系统采用前后端分离；UI界面已经有了
二、包插登录、注册、找回密码等，以及菜品档案，分类，会员档案等页面；
三、人员要求：
1、精通HTML5、JS、vue.js、前端布局、等前端相关技术
2、具有良好的前端架构和编码规范能力
3、良好的沟通能力和契约精神。
4、有点餐系统和vue.js开发经验优先考虑",2018-08-27 21:40:34.227338
市场/运营/创意方案/执行,壹黎雾服装贸易有限公司,2018-01-17 10:46:09,已完成,"1.项目描述：自营服装类品牌（自主设计）公众微信号日常更新，排版，软文推广，活动策划软文。更新内容会提供大纲。

二、主要功能点：

公众号粉丝维护，提高粉丝转换率。
三、可参考产品：

模板可参考雪梨私叙
文章类可参考VOGUE等时尚杂志公众号
四、人员要求：

1、有商业软文写作能力
2、有新媒体运营经验
3、能够正确传递品牌价值和品牌精神。",2018-08-27 21:40:34.260937
设计/UI设计,上海更简网络科技有限公司,2018-06-18 10:37:30,已完成,"会员制电商APP在风格确定以后，需要设计内页。

首页是商品列表、专题和分类；
发现是活动列表和信息流；
我的是个人信息维护等。",2018-08-27 21:40:34.315064
设计/平面设计,捷库动力（北京）信息技术有限公司,2017-12-28 15:10:02,已完成,"1.项目描述
支付宝校园频道营销位banner及详情页设计 
每周三次左右banner及详情页设计，有标准模板和规范
2. 主要功能特点
针对学生进行宣传，大品牌兼职/全职工作信息传播，设计风格偏重学生喜爱的（中二、手绘、个性、动漫），每次banner均有不同主题，需要根据主题修改风格，每次设计必须为原创，严禁抄袭。
3. 参考作品
支付宝APP内校园栏目中的营销位
4. 人员要求
契约精神，可以适当加班，有灵活独到的设计风格，APP营销位设计经验优先，招聘类APP设计经验优先",2018-08-27 21:40:34.318489
设计/UI设计,北京大力,2017-12-29 12:47:47,已完成,"项目描述：主要事做咖啡的
主要功能：是为咖啡店做资源整合及运营，独立app，页面8页，已有完整原型图，需要做ipad端、手机端界面，
要求页面大气，规整，熟悉设计规则，程序能实现，切勿花哨无用。",2018-08-27 21:40:34.331865
设计/动画设计,成都博大教育,2017-12-30 13:34:08,已完成,我们这个项目主要是做幼儿英语教程的，教孩子认识英语，角色已经设计完成，需要按我们出的故事文案把它做成动画。另外，需要动画相对应的图书设计，设计周期2个月，能够走合同流程，需要开公司发票。教程每个课程5-7分钟，需要出30集。设计限成都本地。,2018-08-27 21:40:34.335673
设计/平面设计,产品星球,2018-01-03 09:22:59,已完成,"有个微信公号，想要设计一个LOGO头像，以及配套一个名片。

微信公号名称： 产品星球
微信公号定位：记录产品经理成长路上点点滴滴方方面面

期望风格：简洁、达意。",2018-08-27 21:40:34.342093
设计/UI设计,北京热气球网络科技有限公司,2018-01-04 12:08:32,已完成,"像瓜子二手车风格类型样式，会PC端UI设计和移动端UI设计经验三年以上。做过小程序UI的优先考虑！
广告投放平台是基于公司正在经营的广告代理业务，提取和整理出整个广告行业的运作模式，将全广告行业纳入平台，实现客户直接在平台上从媒体购买广告，媒体价格表标准化，部分透明化，逐步取代各类广告代理公司。 定制的需求是将各类媒体和各类广告对各行业的价格体系录入到平台数据库（大数据积累），客户与媒体直接在平台上线上交易。",2018-08-27 21:40:34.360476
开发/H5开发,北京热气球网络科技有限公司,2018-01-05 14:50:10,已完成,"具有小程序H5开发经验者优先！
基于公司正在经营的广告代理业务，提取和整理出整个广告行业的运作模式，将全广告行业纳入平台，实现客户直接在平台上从媒体购买广告，媒体价格表标准化，部分透明化，逐步取代各类广告代理公司。 平台主体需求类似京东这样的多用户商城或者猪八戒这样的威客，定制的需求是将各类媒体和各类广告对各行业的价格体系录入到平台数据库（大数据积累），客户与媒体直接在平台上线上交易。",2018-08-27 21:40:34.372161
设计/UI设计,优形（北京）餐饮管理有限公司,2017-12-15 11:25:57,已完成,"产品介绍：
优形是一家面向减脂、塑性、增肌用户群体的数据与餐饮企业，根据用户的身体数据、运动数据、医疗数据等精确的分析用户的营养需求，我们对每一份餐点中的各种食物的含量精准把控，并计算每份餐点中各种营养元素的含量，根据营养学体系的分析为用户生成一周或一月计划排餐，每一个用户的餐点种类和各种食物的含量均为量身定制，通过健康合理的有目的的饮食帮助用户达成减脂增肌的目标。
主要设计内容：
官网，主要为宣传页面大约10屏左右，需要适配PC和移动。
健康管理和饮食托管平台：约25个页面，包含用户形体数据的输入、用户定制餐食计划、用户摄入营养元素展示、订单管理、优惠券、配送地址管理、等",2018-08-27 21:40:34.430402
设计/平面设计,海鸥影社,2017-12-15 16:39:27,已完成,"根据我们提出的文本属性和参考样例，设计宝宝的成长海报.
样图至少包含7条文本属性
最好会切图有UI设计经验
参考：https://www.etsy.com/listing/565009061/one-of-a-kind-infographic-birthday?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=photo%20poster&ref=sr_gallery_26

https://www.etsy.com/listing/519091690/first-birthday-chalkboard-first-birthday?ref=search_recently_viewed-3


https://www.etsy.com/listing/471740782/little-monkey-first-birthday-poster?ref=search_recently_viewed-4

https://www.etsy.com/listing/570576821/first-birthday-poster-milestone-board?ref=search_recently_viewed-6",2018-08-27 21:40:34.440358
开发/Web网站开发,登登动媒科技（北京）有限公司,2017-12-15 17:13:31,已完成,"一、项目描述：
       需完成两个网站的页面编写。注：后台接口及UI有专人做好，仅需要编写页面，及调整适配
二、主要功能点
       两个网站：一个为图片类网站，约10个页面；一个为公司介绍类网站，约6个页面
三、可参考产品
       我们提供UI",2018-08-27 21:40:34.455671
设计/UI设计,大河信息,2017-12-16 16:52:09,已完成,"简单说，给我们的H5网站一个[配色方案]。

一、项目描述
我们需要您为我们的H5页面进行整体 UI颜色 规划，包括主题色、背景色、各板块颜色，让整个页面看起来舒适。目前我们已经完成了H5页面的开发，颜色随机选的，但功能模块都已经实现。

二、主要功能点
H5网站色彩规划设计。

三、人员要求
由丰富的UI设计经验，对色彩熟悉。",2018-08-27 21:40:34.534550
开发/APP开发,布尔云,2017-12-19 14:40:22,已完成,"个人信用管理app
主要模块-产品超市、信用管理、个人中心
app的核心是完善信用，涉及到淘宝运营商等sdk的接入。
产品超市就是一个产品列表，一个产品详情。
个人中心包括：修改密码，邀请好友等基础功能。",2018-08-27 21:40:34.540345
设计/UI设计,放盘科技,2017-12-19 08:43:54,已完成,设计一款宠物朋友圈app.，要求设计风格独特，有标志性，用户一眼就能记住，同时带有萌属性。原型图已经有了，需要界面设计，以及一些交互设计。,2018-08-27 21:40:34.544950
设计/动画设计,北京启智大同科技发展有限公司,2017-12-19 14:24:41,已完成,"客户需要化妆品整套包装 
需要能满足包装盒、以及瓶形、内置包材设计，不能满足者勿扰 
单盒(内包材，说明书，外盒)100~300元一份，套装（内包材，内托，说明书，外盒）3~8支.800～1000元一份 
系列:3～8支（每支1个单盒和说明书）800~1000元 
请详细看明要求再联系 
要求可长期合作者优先",2018-08-27 21:40:34.549223
设计/UI设计,绿城自然科技有限公司,2017-12-20 22:37:00,已完成,"页面的设计，h5的制作
工作有整块的，也有零碎的，但不急，可慢悠悠的做，绝不会催
长期有任务，希望长期合作",2018-08-27 21:40:34.580597
开发/其他开发,智学互动网络科技(北京)有限公司,2017-12-21 11:21:40,已完成,"一、项目描述：
抓取指定内部网站的视频播放数观看数等数据项，定期对数据进行分析

二、业务逻辑
要求每天获取数据，生成分析报表。报表包括按天，按周，按月的输出每个视频的观看数据等指标。

三、输出结果
分析报表以Excel形式生成。",2018-08-27 21:40:34.587030
设计/平面设计,深圳市富德融智科技有限公司,2017-12-21 11:21:58,已完成,"根据公司需要设计相关企业的会员卡于活动礼品卡
需求描述:  
1.根据需求提供的公司logo和vi 设计指定主题的 企业会员卡和活动礼品卡。
2.设计风格简洁清新，对于有设计速度和响应速度有很高要求。",2018-08-27 21:40:34.601810
设计/平面设计,海鸥影社,2017-12-25 09:50:17,已完成,根据不同产品，设计若干张分享海报（3～5）张，风格时尚阳光，类似gopro配图。,2018-08-27 21:40:34.620897
设计/平面设计,海鸥影社,2017-12-27 11:27:06,已完成,"1.app logo：根据现有风格，重新设计一个新logo，要求视觉上尽量简约 美式。
2.vi设计：现有两款包装盒，要求设计些字体和图案，点缀包装盒，并且凸显品牌文化。",2018-08-27 21:40:34.631290
开发/Web网站开发,大连宝利信息技术有限公司,2018-06-02 14:03:34,执行中,"网站的主要几个分页面
一、
1、首页（包含一口价、预定、竞价）
2、域名出售页面
3、域名预定页面
4、域名竞价页面
5、域名注册页面
6、帮助中心页面
7、以上页面细节方面需，可提供参考网站
二、
1、用户管理后台
2、管理员后台
3、需要在线支付
三、
1、需要对接、备案、微信拦截检测、qq绿标、360拦截检测等接口
2、需要对接阿里云、腾讯、美橙、西部等备案接入检测接口
3、对出售中的域名检测，备案接入、微信拦截、qq绿标、360拦截等
4、对接域名注册接口
四、
1、有相关开发经验者有限
2、有5年以上开发经验
3、具备良好的沟通和开发专业经验",2018-08-27 21:40:35.021062
开发/前端开发,轻仓科技,2018-06-09 09:50:13,执行中,"项目内容：
 网站重构，设计图纸共9张，js效果很少，需要自适应手机端。
要求：
代码风格好；
兼容主流浏览器；
切换流畅；
抽象度高，代码可复用。
人员要求：
无
有参考网站。
需要在原网站框架基础上进行修改；
备注：设计图为sketch文件",2018-08-27 21:40:35.215973
开发/其他开发,山河,2018-06-21 15:32:03,执行中,根据关键字爬取指定app内的用户姓名 个性签名 粉丝数量,2018-08-27 21:40:35.242189
开发/前端开发,北京拿拿信息科技有限公司,2018-06-28 17:50:39,执行中,"一、项目描述：
资讯类应用的 WebApp开发，作为一个轻量可触达用户的资讯入口。用户在WebApp中可以登录注册、阅读资讯并获得奖励，再通过 WebAPP引流到App中通过商城进行兑换。

项目采用 React + Mobx + Typescript，全自动化运维部署，不用管域名上线配置等杂事，安心输出代码即可。金额按照实际工作量结算，150RMB/h。

二、主要功能点：
登录、注册、查看栏目的文章列表、阅读文章、查看自己的奖励记录、跳转到APP中查看

三、人员要求：
1、熟悉移动端页面开发
2、熟悉 React 框架，熟悉 Typescript
3、具有良好的沟通能力和责任心",2018-08-27 21:40:35.254376
开发/Web网站开发,北京影视路由文化传播有限公司,2016-11-15 13:40:00,执行中,"公司创业项目，需要完成影视制作平台网站Web开发，需要pc端和移动端。
实现影视模块化，使用户能够自定义视频
http://www.tvcbook.com/
团队有完整的PRD，需要开发团队完成整站开发。
周期，预算可以在评估实际工作量后具体评估",2018-08-27 21:40:35.266219
产品/产品经理,金斯达,2018-06-22 15:36:21,执行中,"一、项目描述：
金融类手机App开发，包括iOS和Android两端，稳定的K线图体验

投资组合的形式展示组合持仓，实时加载成交明细，进行收益展示。
对于交易本身又有模拟和实盘之分，模拟交易重在趣味性和竞技性；

实盘交易则重在展示性和互动性。

可以独立测试金融方案回放试预演，计划和成长。
激励行社区配套，按方案或数据提供者，提供营销激励,分享方案

二、主要功能点：
股票，期货K线图，金融分析，大V观点，策略使用，交易

三、可参考产品：
参考指数天下、非常策略、股票配资宝、翻翻配资、长牛策略

四、人员要求：
1、有金融App产品的开发经验；
2、精通VUE框架，HTML5混合开发
3、良好的沟通能力和契约精神。",2018-08-27 21:40:35.311438
开发/其他开发,天歌,2017-12-25 12:20:14,执行中,"本项目是一款金融网站自动下单脚本,功能比较简单,实时监控交易单上面的价格,当某个价格低于脚本设定的价格时,自动买入.",2018-08-27 21:40:35.338709
设计/其他设计,苏州九邦网络科技有限公司,2017-12-25 17:54:09,执行中,"品牌名称：微财猫
1、图形logo设计（简洁）
2、以猫为形象（人工智能，招财，机器猫方向）
3、网址：Vcaimao.com
微财猫的寓意是：智能的招财猫
提供的服务是： 移动支付，微信会员高级服务，电子发票，营销招客，意在帮商家招财，基于人工智能的客户管理，商业服务机器人方向。
服务对象：门店商户，如餐饮，酒店，超市，商场等
希望微财猫能像 柜台上的招财猫 一样 普及和广受欢迎。",2018-08-27 21:40:35.403276
开发/Web网站开发,北京蓝森科技有限公司,2017-11-30 08:16:15,执行中,"一、项目描述：
IT教育培训的营销展示网站，后台基于Discuz!，前台所有页面需要使用H5+CSS3打造能够自适应的首页（自适应PC+Pad+Phone，以及不同主流分辨率）。后台可以控制绝大多数的主要功能（部分高度独立且不常修改的板块可以接受直接修改网页源码）。要求网站具备很好的做SEO优化的基础，利于推广营销以及搜索引擎爬虫的抓取。要求具有营销及消费心理学基础的设计团队参与设计页面，有能力在必要的时间及节点提出简单的相关建议。

二、主要功能点：
正在运营的网站：www.15pb.com.cn
【首页】：庄重、酷炫、主题突出，必须具备“开班时间”、“就业快报”、“学员反馈”这三个模块，其他可自由发挥；
【机构介绍】：请参考现有网站的机构介绍（参考模块及部分设计）
【教育产品】：需要以较好的创意体现出我们目前的课程
【学生园地】：学生作品、学员感言、学员风采、拼搏名人榜、班级动态、校园新闻
【新闻报道】：官方公告、媒体报道、行业动态
【技术分享】：原创文章、原创视频、学员分享
【校企合作】：请参考原网站校企合作
｛着陆页｝：
1. C语言基础班 动态响应式着陆页
2. 全栈软件安全精英班 动态响应式着陆页
3. 信息安全培训就业 动态响应式着陆页

｛论坛｝：
有一个能够与整个站点风格相符的样式模板。

三、可参考产品：
我们现在自己的网站： www.15pb.com.cn 
某培训机构：www.itcast.cn

四、人员要求：
1、有Discuz!的二次开发经验，能够熟练定制Discuz!模板，且能够完成Discuz!后台的一般级别定制；
2、精通PHP、Html5、CSS3、Javascript等语言，熟练使用MySQL等关系型数据库等；
3、对消费心理学、网络营销有较深入的理解；
4、熟悉产品->页面->搜索引擎的对应关系，能够充分考虑到后期SEO优化的潜在需求；
5、良好的沟通能力和契约精神。",2018-08-27 21:40:35.412770
开发/APP开发,Firm&amp;Solid,2017-12-05 15:37:30,执行中,"一、项目描述：

百货商品的手机App开发，包括iOS和Android两端。

二、主要功能点：

积分商城，商品列表、支付功能、消息通知与推送、登录注册

三、可参考产品：

Gomart
诚选家

四、人员要求：

1、有电商类型App产品的开发经验；
2、精通UI界面设计，Java或PHP，熟悉jQuery、Javascript、Maven、Redis等技术，熟练使用MySQL等关系型数据库等；
3、良好的沟通能力和契约精神。",2018-08-27 21:40:35.452035
开发/后端开发,成都惠特,2018-05-09 11:49:36,执行中,"小型图书馆借书系统后台开发（java）
一、项目描述：
系统主要用于小型书屋（或者咖啡馆）书籍的的日常管理。项目基于java的后台框架开发，为前端提供api数据支持，整体采用前后端分离的架构。
需要工程师白天工作时间可以提供支持，时间充裕倾向于有经验的java后台工程师独立完成。数据库采用的mysql。

二、主要功能点：
查看图书馆信息，最新上架书籍推送，上架图书，发起借书，接受借书，设定借书条件，还书等功能。


三、人员要求：
1、精通java，熟悉流行spring mvc等主流框架，熟练使用MySQL数据库等；
2. 有图书管理系统，企业oa系统开发经验优先
3，良好的沟通能力和契约精神。
4，有充足，稳定时间保证进度。",2018-08-27 21:40:35.468960
开发/Web网站开发,武汉云集信息科技有限公司,2018-05-14 09:29:53,执行中,"目前已有网站www.whyunji.com,因更新改版，需要开发小型企业网站，要求具备后台管理功能，能够及时更新发布信息，兼容电脑、手机、微信等访问，可以添加友情链接、数据统计脚本等
一、主要功能点：（菜单分类及内容能自动添加更佳，不介意套取成熟模板）
1、首页 
2、解决方案 
3、产品中心 
4、新闻动态
5、服务中心 
6、关于我们 
二、可参考网站
http://www.sz-yonyou.com/
http://www.gd-yonyou.com/
三、要求：
1、有企业网站、管理系统开发经验的企业或个人
2、开发者要求精通当前主流网站开发语言及数据库操作
3、要求设计界面友好，易被搜索引擎收录",2018-08-27 21:40:35.476109
开发/后端开发,御厨云,2018-05-14 23:15:27,执行中,"现有系统，想增加进销存模块，主要功能模块如下：
1、采购管理：货商分类，货商档案，采购入库，采购退货，货商结算、相应报表
2、批发管理：客户分类，客户档案，批发销售，批发退货，客户结算、相应报表
3、库存管理：门店要货，库存调整，库存调拨，库存盘点，相应报表
库存采用批次法，先进先出（系统自动处理，不用手工选）；
与现有商品档案、零售报表对接，减库存；
最好能同时完成相关前端界面（提供相应设计稿），开发完成后需移交全部代码及开发文档；
要有良好的代码编写习惯，有二个以上相关开发项目开发经验；",2018-08-27 21:40:35.488352
开发/Web网站开发,乐清欧亚装饰有限公司,2018-05-23 14:35:07,执行中,"项目描述：室内设计公司网站主页设计，需要对接到微信端口。

主要功能及特点：公司简介及业务描述和工程展示

可参考产品：
http://www.shenyuansj.com
https://mp.weixin.qq.com/mp/profile_ext?action=home&amp;__biz=MzAwMTA3MzIxMQ==&amp;scene=123&amp;from=groupmessage&amp;isappinstalled=0#wechat_redirect",2018-08-27 21:40:35.500749
设计/UI设计,北京赛乐得科技,2018-05-16 11:51:56,执行中,"1.需求清晰，已有详细的PRD与低保真；
2.数据可视化是核心需求；
3.web界面动态呈现的设计；
4.系统web的UI设计。",2018-08-27 21:40:35.531720
开发/后端开发,惠特,2018-05-24 10:07:06,执行中,"小型图书馆借书系统后台开发一期
一、项目描述：
系统主要用于小型书屋（或者咖啡馆）书籍的的日常管理。项目基于java的后台框架开发，为前端提供api数据支持，整体采用前后端分离的架构。
需要工程师白天工作时间可以提供支持，时间充裕倾向于有经验的java后台工程师独立完成。数据库采用的mysql。目前项目已经完成30%。需要接着之前的代码二次开发

二、一期主要功能点：
注册登录，书架管理（上传书，下架，分类显示图书，设置借阅条件），借书流程（借书，还书全流程），显示系统最新上架书籍列表。支付接口对接（微信，支付宝）和websocket私信发送功能二选一。",2018-08-27 21:40:35.538231
开发/小程序开发,青岛易搬信息科技有限公司,2018-05-24 10:29:18,执行中,"提供后台数据接口（JAVA）和UI原型，完成15个页面左右的微信小程序前端页面实现
要求：
1.有小程序开发经验，熟悉小程序端相关规则
2.具备15天左右完成项目的时间",2018-08-27 21:40:35.549479
设计/平面设计,火树互动,2018-05-24 16:40:20,执行中,"我们希望能找一位在Logo设计方面比较资深的设计师，结合我们的行业背景与愿景，设计出一款符合当前设计潮流的品牌logo。

公司背景：
H5游戏研发团队，休闲类游戏为主。",2018-08-27 21:40:35.559356
开发/Web网站开发,哈尔滨陌仟文化传媒,2018-05-29 16:17:43,执行中,"参考mj.yuzhua.com，www.wajxw.com，www.xingtui520.com
要求能读取相关平台粉丝量，最近播放次数，转发次数等，
工期三周以内，分原型/修改两个阶段",2018-08-27 21:40:35.588420
设计/平面设计,北京云道天成科技有限公司,2018-06-01 22:26:30,执行中,"大型内容发布系统产品LOGO设计。
要求:
 1. 简单、可以表达slogan意义
 2. 能够融汇科技感和东方哲学
 3. 主色调亦可作为于网站、APP的主色调。
 4. 可应用于网站、APP、易拉宝和纸质宣传册。
 5. 可通过增加角标等方式扩展，流入 XX问答，XX视频, XX图集 等
 6. 交付矢量图和色卡。",2018-08-27 21:40:35.620248
开发/前端开发,杭州轻仓科技有限公司,2018-05-31 21:55:37,执行中,"项目内容：
 网站重构，设计图纸共9张，js效果很少，需要自适应手机端。
要求：代码风格好，页面流畅，兼容主流浏览器。
人员要求：
无
有参考网站。",2018-08-27 21:40:35.626724
设计/UI设计,北京惠明易生科技有限责任公司,2018-04-22 14:45:22,执行中,"基于业务原型和业务描述，利用bootstrap快速搭建桌面、手机客户端通用平台前端：
一、通用系统管理，包括人员、家庭、组织、权限、岗位等管理；
二、可拖拽式条件聚合
三、填报类业务表单、图形报表
要求：简洁、响应式",2018-08-27 21:40:35.642128
设计/UI设计,北京肆合文化传媒有限公司,2018-04-23 14:44:51,执行中,"一、项目描述：
为本地化办公室设计logo，样式简洁大方

二、主要功能点：
凸出办公室的专业与特点（专业的翻译/本地化工作室），可详谈。
预算约为¥2000

三、人员要求：
1、有logo设计的相关经验
2、良好的沟通能力和契约精神",2018-08-27 21:40:35.653810
开发/前端开发,小公司,2018-04-24 10:36:53,执行中,"要求：1.有行业平台小程序和H5前端系统开发项目经验的，前端技术是使用react技术栈的小型团队
2.需要能立即投入资源启动开发。 
3.能长期稳定合作的 
需求情况：
公司内部使用的系统，分小程序端和web端，用于营销和
项目管理，部分功能已开发完，本次为二期需求，包括一部分现有功能优化 和新功能，已有代码质量高，后台接口都已有，主要是页面和数据绑定。
主要新功能需求有这几个模块：客服模块，任务协同管理，客户关系管理模块，营销数据展示。有页面参考，但无原型。
要求：
会小程序开发：经验丰富，出活快；有一定ui设计水平，能做出专业水平样式。
H5开发：熟练使用 react技术栈，会用
antdesignc-pro开发。",2018-08-27 21:40:35.676454
